Complaint,Category,Urgency,clean_complaint,Category_encoded,Urgency_encoded
I can’t add a new address — button does nothing.,Account & Shipping,Low,add new address button nothing,0,2
Flash sale prices aren’t reflected during checkout. and I need help urgently,Promotions,Immediate,flash sale price reflected checkout need help urgently,5,1
System declined my payment without any reason. — this is very frustrating,Payments,Immediate,system declined payment without reason frustrating,3,1
The shipping company marked it as delivered to the wrong city. and I need help urgently,Order Tracking,Medium,shipping company marked delivered wrong city need help urgently,2,3
Site logs me out randomly. which is unacceptable,Technical Issues,Medium,site log randomly unacceptable,7,3
I never received the promised sign-up bonus. and I don't know what to do next,Promotions,Medium,never received promised sign bonus know next,5,3
It looks like a returned item — packaging was already opened. — this is very frustrating,Product Issues,Low,look like returned item packaging already opened frustrating,4,2
"Order timed out after payment, but money is gone.",Payments,Low,order timed payment money gone,3,2
No updates in 7 days — where is my stuff? even after multiple attempts,Order Tracking,Medium,update day stuff even multiple attempt,2,3
I paid for express delivery and it’s still not shipped. — this is very frustrating,Order Tracking,Low,paid express delivery still shipped frustrating,2,2
The discount code I got by email doesn’t work on any items. even after multiple attempts,Promotions,High,discount code got email work item even multiple attempt,5,0
Your support team said I’d get refunded — it's been a week. despite following all instructions,Refunds,Medium,support team said get refunded week despite following instruction,6,3
It shipped to the wrong apartment. — this is very frustrating,Account & Shipping,Low,shipped wrong apartment frustrating,0,2
"Order timed out after payment, but money is gone. — this is very frustrating",Payments,Medium,order timed payment money gone frustrating,3,3
I never received the promised sign-up bonus. even after multiple attempts,Promotions,Medium,never received promised sign bonus even multiple attempt,5,3
Site logs me out randomly. and there's no explanation anywhere,Technical Issues,High,site log randomly explanation anywhere,7,0
I’m stuck on the loading screen forever. which is unacceptable,Technical Issues,Immediate,stuck loading screen forever unacceptable,7,1
No updates in 7 days — where is my stuff? — this is very frustrating,Order Tracking,Low,update day stuff frustrating,2,2
Package was rerouted without telling me. — this is very frustrating,Order Tracking,High,package rerouted without telling frustrating,2,0
It has a foul odor like chemicals. which is unacceptable,Product Issues,High,foul odor like chemical unacceptable,4,0
I’m stuck on the loading screen forever. and I don't know what to do next,Technical Issues,Medium,stuck loading screen forever know next,7,3
I never received the promised sign-up bonus. which is unacceptable,Promotions,High,never received promised sign bonus unacceptable,5,0
I clicked on a 15% off ad and it vanished at checkout.,Promotions,Low,clicked vanished checkout,5,2
I can’t add a new address — button does nothing. and I need help urgently,Account & Shipping,Medium,add new address button nothing need help urgently,0,3
"The return was delivered, but no refund yet. and I need help urgently",Refunds,Low,return delivered refund yet need help urgently,6,2
Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Order Issues,Medium,duplicate order placed mistake cancel despite following instruction,1,3
This isn't what I ordered — it’s the wrong model. and I don't know what to do next,Product Issues,Immediate,ordered wrong model know next,4,1
I can’t add a new address — button does nothing. please fix this ASAP,Account & Shipping,Low,add new address button nothing please fix asap,0,2
There are defects in the stitching of this garment. please fix this ASAP,Product Issues,High,defect stitching garment please fix asap,4,0
The courier lost my order — I need a replacement ASAP. despite following all instructions,Order Tracking,Immediate,courier lost order need replacement asap despite following instruction,2,1
"The box arrived empty, just packing materials. please fix this ASAP",Order Issues,Immediate,box arrived empty packing material please fix asap,1,1
There are defects in the stitching of this garment. and I don't know what to do next,Product Issues,Medium,defect stitching garment know next,4,3
Used Apple Pay — no order confirmation received. please fix this ASAP,Payments,Medium,used apple pay order confirmation received please fix asap,3,3
The courier lost my order — I need a replacement ASAP. please fix this ASAP,Order Tracking,High,courier lost order need replacement asap please fix asap,2,0
The discount code I got by email doesn’t work on any items. and I don't know what to do next,Promotions,High,discount code got email work item know next,5,0
"I used a valid code and it applied, but was later removed. and I don't know what to do next",Promotions,Low,used valid code applied later removed know next,5,2
"The box arrived empty, just packing materials. even after multiple attempts",Order Issues,High,box arrived empty packing material even multiple attempt,1,0
There are defects in the stitching of this garment. even after multiple attempts,Product Issues,High,defect stitching garment even multiple attempt,4,0
You promised a refund 10 days ago — still nothing in my account. — this is very frustrating,Refunds,Medium,promised refund day ago still nothing account frustrating,6,3
"Tracking says delivered, but nothing is at my door. despite following all instructions",Order Tracking,High,tracking say delivered nothing door despite following instruction,2,0
App is extremely slow today. despite following all instructions,Technical Issues,High,ape extremely slow today despite following instruction,7,0
Duplicate orders were placed by mistake and I can't cancel. even after multiple attempts,Order Issues,Immediate,duplicate order placed mistake cancel even multiple attempt,1,1
You sent me a tracking number that doesn’t exist. even after multiple attempts,Order Tracking,Medium,sent tracking number exist even multiple attempt,2,3
"Tracking says delivered, but nothing is at my door. and it's really disappointing",Order Tracking,Immediate,tracking say delivered nothing door really disappointing,2,1
Error message keeps popping up during login. and I need help urgently,Technical Issues,High,error message keep popping login need help urgently,7,0
You refunded the wrong amount. even after multiple attempts,Refunds,Medium,refunded wrong amount even multiple attempt,6,3
Everything came except the most expensive item I paid for. please fix this ASAP,Order Issues,Medium,everything came except expensive item paid please fix asap,1,3
My order shows 'fulfilled' but I never received it. please fix this ASAP,Order Issues,High,order show fulfilled never received please fix asap,1,0
The app froze during checkout and now my cart is empty. despite following all instructions,Technical Issues,High,ape froze checkout cart empty despite following instruction,7,0
Billing and shipping addresses keep getting swapped. please fix this ASAP,Account & Shipping,High,billing shipping address keep getting swapped please fix asap,0,0
"The box arrived empty, just packing materials. and I need help urgently",Order Issues,High,box arrived empty packing material need help urgently,1,0
It has a foul odor like chemicals. even after multiple attempts,Product Issues,High,foul odor like chemical even multiple attempt,4,0
I didn’t approve this transaction. despite following all instructions,Payments,Low,approve transaction despite following instruction,3,2
Billing and shipping addresses keep getting swapped. which is unacceptable,Account & Shipping,High,billing shipping address keep getting swapped unacceptable,0,0
My tracking shows 'label created' for 5 days with no movement. — this is very frustrating,Order Tracking,Immediate,tracking show label created day movement frustrating,2,1
It says 'Buy 1 Get 1 Free' but I was charged for both items. and it's really disappointing,Promotions,Medium,say buy get free charged item really disappointing,5,3
I can’t change my shipping method after ordering. even after multiple attempts,Account & Shipping,Immediate,change shipping method ordering even multiple attempt,0,1
The zipper broke the first time I used the bag. and I don't know what to do next,Product Issues,Low,zipper broke first time used bag know next,4,2
The discount code I got by email doesn’t work on any items. and it's really disappointing,Promotions,Medium,discount code got email work item really disappointing,5,3
Search results don’t load anything anymore. despite following all instructions,Technical Issues,Immediate,search result load anything anymore despite following instruction,7,1
"Referral code said $10 off, but it did nothing. which is unacceptable",Promotions,High,referral code said nothing unacceptable,5,0
I received store credit instead of a cash refund I requested. please fix this ASAP,Refunds,High,received store credit instead cash refund requested please fix asap,6,0
I want a refund but there's no option in the return menu. which is unacceptable,Refunds,High,want refund option return menu unacceptable,6,0
I didn’t approve this transaction. and there's no explanation anywhere,Payments,Immediate,approve transaction explanation anywhere,3,1
Wrong items delivered — not even close to what I ordered. and I need help urgently,Order Issues,Low,wrong item delivered even close ordered need help urgently,1,2
It shipped to the wrong apartment. and there's no explanation anywhere,Account & Shipping,Immediate,shipped wrong apartment explanation anywhere,0,1
Instructions were unclear and impossible to follow. which is unacceptable,Product Issues,Low,instruction unclear impossible follow unacceptable,4,2
I updated my address but order still went to the old one. and I need help urgently,Account & Shipping,Medium,updated address order still went old one need help urgently,0,3
I want a refund but there's no option in the return menu. and I need help urgently,Refunds,Medium,want refund option return menu need help urgently,6,3
Shipping info shows a state I don’t live in. which is unacceptable,Account & Shipping,Immediate,shipping info show state live unacceptable,0,1
Missing accessories from the package.,Product Issues,Immediate,missing accessory package,4,1
The courier lost my order — I need a replacement ASAP. and it's really disappointing,Order Tracking,Medium,courier lost order need replacement asap really disappointing,2,3
I never got tracking info in the first place. despite following all instructions,Order Tracking,Low,never got tracking info first place despite following instruction,2,2
Still waiting for confirmation that my refund is being processed. which is unacceptable,Refunds,Medium,still waiting confirmation refund processed unacceptable,6,3
Used Apple Pay — no order confirmation received. and I don't know what to do next,Payments,Immediate,used apple pay order confirmation received know next,3,1
My loyalty points are missing even after multiple purchases. and there's no explanation anywhere,Promotions,Low,loyalty point missing even multiple purchase explanation anywhere,5,2
"Tracking says delivered, but nothing is at my door. — this is very frustrating",Order Tracking,Immediate,tracking say delivered nothing door frustrating,2,1
Your support team said I’d get refunded — it's been a week. which is unacceptable,Refunds,Immediate,support team said get refunded week unacceptable,6,1
Only part of my order arrived — the rest is missing. and it's really disappointing,Order Issues,Medium,part order arrived rest missing really disappointing,1,3
Duplicate orders were placed by mistake and I can't cancel. please fix this ASAP,Order Issues,Immediate,duplicate order placed mistake cancel please fix asap,1,1
Can’t apply filters while browsing products. even after multiple attempts,Technical Issues,High,apply filter browsing product even multiple attempt,7,0
Flash sale prices aren’t reflected during checkout. please fix this ASAP,Promotions,Immediate,flash sale price reflected checkout please fix asap,5,1
"Bank says payment went through, you say it didn’t. and I need help urgently",Payments,Low,bank say payment went say need help urgently,3,2
"Referral code said $10 off, but it did nothing. and there's no explanation anywhere",Promotions,Immediate,referral code said nothing explanation anywhere,5,1
Wrong items delivered — not even close to what I ordered. please fix this ASAP,Order Issues,High,wrong item delivered even close ordered please fix asap,1,0
Your support team said I’d get refunded — it's been a week. and it's really disappointing,Refunds,Low,support team said get refunded week really disappointing,6,2
Shipping info shows a state I don’t live in. — this is very frustrating,Account & Shipping,Medium,shipping info show state live frustrating,0,3
Missing accessories from the package. and it's really disappointing,Product Issues,Immediate,missing accessory package really disappointing,4,1
Flash sale prices aren’t reflected during checkout. and I don't know what to do next,Promotions,Medium,flash sale price reflected checkout know next,5,3
I was charged twice for the same item. and I don't know what to do next,Payments,Low,charged twice item know next,3,2
App is extremely slow today. even after multiple attempts,Technical Issues,Low,ape extremely slow today even multiple attempt,7,2
One side of the headphones doesn't work. despite following all instructions,Product Issues,High,one side headphone work despite following instruction,4,0
"Referral code said $10 off, but it did nothing. — this is very frustrating",Promotions,Immediate,referral code said nothing frustrating,5,1
Transaction failed but my card got debited anyway. please fix this ASAP,Payments,Immediate,transaction failed card got debited anyway please fix asap,3,1
The app froze during checkout and now my cart is empty. and I need help urgently,Technical Issues,Low,ape froze checkout cart empty need help urgently,7,2
Wrong items delivered — not even close to what I ordered. and it's really disappointing,Order Issues,Immediate,wrong item delivered even close ordered really disappointing,1,1
It looks like a returned item — packaging was already opened. even after multiple attempts,Product Issues,Medium,look like returned item packaging already opened even multiple attempt,4,3
Can’t reset my password — reset link doesn’t work. please fix this ASAP,Account & Shipping,Low,reset password reset link work please fix asap,0,2
My order shows 'fulfilled' but I never received it. even after multiple attempts,Order Issues,High,order show fulfilled never received even multiple attempt,1,0
"The box arrived empty, just packing materials. and I don't know what to do next",Order Issues,Immediate,box arrived empty packing material know next,1,1
There’s a mystery fee added to my final bill. even after multiple attempts,Payments,Low,mystery fee added final bill even multiple attempt,3,2
There’s a mystery fee added to my final bill. and it's really disappointing,Payments,Medium,mystery fee added final bill really disappointing,3,3
The item arrived broken and unusable. — this is very frustrating,Product Issues,Immediate,item arrived broken unusable frustrating,4,1
I received store credit instead of a cash refund I requested. which is unacceptable,Refunds,High,received store credit instead cash refund requested unacceptable,6,0
Only part of my order arrived — the rest is missing. — this is very frustrating,Order Issues,Immediate,part order arrived rest missing frustrating,1,1
It looks like a returned item — packaging was already opened. despite following all instructions,Product Issues,Immediate,look like returned item packaging already opened despite following instruction,4,1
I paid for express delivery and it’s still not shipped. and it's really disappointing,Order Tracking,Low,paid express delivery still shipped really disappointing,2,2
My tracking shows 'label created' for 5 days with no movement. even after multiple attempts,Order Tracking,Medium,tracking show label created day movement even multiple attempt,2,3
I can’t change my shipping method after ordering. and it's really disappointing,Account & Shipping,Immediate,change shipping method ordering really disappointing,0,1
It keeps saying my email is invalid. — this is very frustrating,Account & Shipping,Low,keep saying email invalid frustrating,0,2
I clicked on a 15% off ad and it vanished at checkout. — this is very frustrating,Promotions,Immediate,clicked vanished checkout frustrating,5,1
Why was one of my items refunded without asking? and it's really disappointing,Order Issues,Immediate,one item refunded without asking really disappointing,1,1
I got charged but no confirmation email came through. and I don't know what to do next,Order Issues,Low,got charged confirmation email came know next,1,2
The colors in the product photos are completely misleading. please fix this ASAP,Product Issues,Immediate,color product photo completely misleading please fix asap,4,1
Everything came except the most expensive item I paid for. and it's really disappointing,Order Issues,Medium,everything came except expensive item paid really disappointing,1,3
I updated my address but order still went to the old one. — this is very frustrating,Account & Shipping,High,updated address order still went old one frustrating,0,0
Search results don’t load anything anymore. and it's really disappointing,Technical Issues,Medium,search result load anything anymore really disappointing,7,3
Everything came except the most expensive item I paid for. and there's no explanation anywhere,Order Issues,High,everything came except expensive item paid explanation anywhere,1,0
The discount code I got by email doesn’t work on any items. despite following all instructions,Promotions,Low,discount code got email work item despite following instruction,5,2
My order shows 'fulfilled' but I never received it. which is unacceptable,Order Issues,Medium,order show fulfilled never received unacceptable,1,3
The site accepted my payment but shows no order. despite following all instructions,Payments,Low,site accepted payment show order despite following instruction,3,2
I didn’t approve this transaction. which is unacceptable,Payments,Low,approve transaction unacceptable,3,2
Your system rejected my student discount for no reason. and I need help urgently,Promotions,Low,system rejected student discount reason need help urgently,5,2
Can’t reset my password — reset link doesn’t work. even after multiple attempts,Account & Shipping,Low,reset password reset link work even multiple attempt,0,2
Why was a restocking fee deducted from my refund? and I need help urgently,Refunds,High,restocking fee deducted refund need help urgently,6,0
The site accepted my payment but shows no order. and there's no explanation anywhere,Payments,Immediate,site accepted payment show order explanation anywhere,3,1
The zipper broke the first time I used the bag. despite following all instructions,Product Issues,High,zipper broke first time used bag despite following instruction,4,0
"I used a valid code and it applied, but was later removed. despite following all instructions",Promotions,High,used valid code applied later removed despite following instruction,5,0
My tracking shows 'label created' for 5 days with no movement. and it's really disappointing,Order Tracking,Immediate,tracking show label created day movement really disappointing,2,1
The shipping company marked it as delivered to the wrong city. even after multiple attempts,Order Tracking,High,shipping company marked delivered wrong city even multiple attempt,2,0
One side of the headphones doesn't work. and I don't know what to do next,Product Issues,High,one side headphone work know next,4,0
I returned everything and only got a partial refund. despite following all instructions,Refunds,Low,returned everything got partial refund despite following instruction,6,2
This isn't what I ordered — it’s the wrong model. despite following all instructions,Product Issues,Medium,ordered wrong model despite following instruction,4,3
I paid for express delivery and it’s still not shipped. which is unacceptable,Order Tracking,Low,paid express delivery still shipped unacceptable,2,2
It has a foul odor like chemicals. and I don't know what to do next,Product Issues,High,foul odor like chemical know next,4,0
I never received the promised sign-up bonus. despite following all instructions,Promotions,Low,never received promised sign bonus despite following instruction,5,2
The shipping company marked it as delivered to the wrong city. and I don't know what to do next,Order Tracking,High,shipping company marked delivered wrong city know next,2,0
"You're advertising free shipping, but I'm being charged for it. and I need help urgently",Promotions,Low,advertising free shipping charged need help urgently,5,2
Package was rerouted without telling me. which is unacceptable,Order Tracking,Low,package rerouted without telling unacceptable,2,2
Why was one of my items refunded without asking? — this is very frustrating,Order Issues,Medium,one item refunded without asking frustrating,1,3
Your system rejected my student discount for no reason. despite following all instructions,Promotions,Low,system rejected student discount reason despite following instruction,5,2
"The return was delivered, but no refund yet. and it's really disappointing",Refunds,High,return delivered refund yet really disappointing,6,0
Can’t apply filters while browsing products.,Technical Issues,Low,apply filter browsing product,7,2
